appid,name,developer,release_date,genre,genre_code,price,total_reviews,positive_ratio,avg_playtime_mins,peak_players,metacritic_score,developer_bio,platforms
100392,Golden Odyssey,Moonlight Games,12/05/2019,Action,1,27.3745,900,79.46,452,221,73.3,NA,1
100393,Primal Eclipse Reborn,RedKite,21/02/2023,Strategy,3,55.6244,446,96.98,548,211,49,NA,2
100394,Fallen Horizon Reborn,Moonlight Games,24/03/2022,Action,1,41.1169,1164,83.34,230,210,NA,Creating unique worlds one pixel at a time.,2
100395,Burning Legacy,PixelForge,24/10/2021,Action,1,42.9349,445,74.93,468,659,73.4,Our mission: games that matter.,1
100396,Rogue Genesis Origins,SilverLeaf,26/05/2023,RPG,2,74.1036,511,74.6,711,328,52.2,NA,3
100397,Steel Vanguard,SilverLeaf,27/10/2018,Action,1,50.8188,770,65.32,129,128,46.7,Building the future of interactive entertainment.,2
100398,Dark Chronicles,Moonlight Games,04/10/2019,Simulation,4,52.5574,1125,90.12,2196,341,94.7,We make games that push boundaries.,3
100399,Broken Catalyst,RedKite,03/11/2024,Action,1,28.7054,462,86.72,439,320,98.4,"Small team, big dreams. Making games since 2015.",2
100400,Rogue Bastion (21),CrystalDawn,14/08/2021,Action,1,35.4622,722,53.92,799,157,NA,Our mission: games that matter.,1
100401,Wild Zenith,CrystalDawn,26/02/2019,Simulation,4,49.978,0,86.74,888,324,95.1,Our mission: games that matter.,2
100402,Rogue Bastion (22),PixelForge,19/04/2020,RPG,2,53.2918,987,64.91,735,213,63.2,Passionate about narrative-driven experiences.,2
100403,Fallen Chronicles,Neon Arc,30/01/2022,RPG,2,44.5098,380,93.94,85,232,NA,Focused on player agency and emergent gameplay.,2
100404,Frozen Sanctum Origins,ThunderByte,15/01/2024,Action,1,45.5474,805,60.08,723,306,59.6,NA,1
100405,Silent Protocol Origins,RedKite,14/01/2019,Action,1,48.5378,359,90.18,300,206,74,NA,1
100406,Forsaken Harbinger,ThunderByte,04/10/2023,Action,1,46.4966,485,78.01,492,240,61,Creating unique worlds one pixel at a time.,2
100407,Twisted Frontier Origins,CrystalDawn,27/09/2022,Action,1,0,455,59.64,524,131,96.8,Passionate about narrative-driven experiences.,1
100408,Savage Revenant (23),CrystalDawn,09/03/2020,Puzzle,5,38.4554,859,78.2,713,307,NA,"Small team, big dreams. Making games since 2015.",2
100409,Phantom Architect,pixelforge,25/04/2020,Strategy,3,56.7668,504,75.56,562,215,NA,NA,3
100410,Wild Vendetta (24),CrystalDawn,24/08/2020,Action,1,38.8617,945,57.83,1215,413,75.8,NA,1
100411,Neon Cipher Reborn,irongate studios,26/08/2022,Simulation,4,27.6481,628,58.91,682,224,62.7,"Small team, big dreams. Making games since 2015.",1
100412,Neon Requiem Origins,SilverLeaf,21/10/2024,RPG,2,46.3312,251,84.1,701,102,NA,Building the future of interactive entertainment.,1
100413,Shattered Tempest,PixelForge,02/10/2024,Action,1,49.8137,553,54.67,580,336,81,NA,3
100414,Hidden Catalyst II,Moonlight Games,11/07/2023,Action,1,52.9002,335,90.29,438,338,NA,We make games that push boundaries.,2
100415,Dark Abyss Reborn,SilverLeaf,03/11/2021,Action,1,48.2859,533,80.02,213,184,NA,"Small team, big dreams. Making games since 2015.",1
100416,Grand Nexus III,IronGate Studios,13/09/2021,RPG,2,50.7876,521,89.65,500,453,44.2,Passionate about narrative-driven experiences.,2
100417,Twisted Sanctum,SilverLeaf,26/01/2018,Action,1,37.7707,891,91.51,487,675,NA,Focused on player agency and emergent gameplay.,2
100418,Neon Chronicles,Moonlight Games,05/06/2020,Action,1,48.3303,245,96.8,875,40,47.1,Building the future of interactive entertainment.,1
100419,Dire Remnants Redux,Neon Arc,11/11/2023,Simulation,4,55.5253,701,85.63,493,233,NA,"Small team, big dreams. Making games since 2015.",1
100420,Cursed Labyrinth Origins,Moonlight Games,11/09/2020,Action,1,29.4851,968,78.75,252,400,61.2,Focused on player agency and emergent gameplay.,1
100421,Infinite Ascension,CrystalDawn,02/09/2020,Simulation,4,0,988,52.22,693,308,76.6,"Small team, big dreams. Making games since 2015.",1
100422,Radiant Solstice,ThunderByte,05/02/2020,Simulation,4,51.8034,731,94.59,669,338,NA,Our mission: games that matter.,1
100423,Cursed Vendetta Origins,CrystalDawn,19/06/2024,Action,1,63.7113,832,62.36,553,364,92.4,NA,3
100424,Crimson Fortress II,Neon Arc,04/07/2023,RPG,2,45.3154,237,65.89,446,159,50.2,Passionate about narrative-driven experiences.,2
100425,Neon Vendetta Redux,RedKite,26/04/2024,Puzzle,5,53.2318,975,68.65,419,251,41.7,NA,3
100426,Grand Fortress Origins,RedKite,12/04/2021,Simulation,4,45.1145,479,97.76,252,213,59.1,We make games that push boundaries.,1
100427,Wild Chronicles III,Neon Arc,04/04/2021,Strategy,3,60.0996,0,60.11,523,419,83,Veterans from AAA studios going indie.,2
100428,Savage Cipher,Moonlight Games,16/06/2018,Action,1,44.9123,404,78.8,230,360,NA,NA,1
100429,Dire Horizon,Moonlight Games,30/04/2022,Action,1,48.7813,909,82.27,755,221,48.6,Veterans from AAA studios going indie.,1
100430,Radiant Catalyst Origins,Moonlight Games,19/07/2024,Puzzle,5,0,940,86.4,448,437,81.5,Passionate about narrative-driven experiences.,3
100431,Hollow Odyssey Redux,IronGate Studios,15/12/2024,Simulation,4,50.3332,386,53.19,1065,329,40.3,NA,1
100432,Neon Zenith,IronGate Studios,26/01/2022,Action,1,43.2947,812,72.6,779,461,74.6,"Small team, big dreams. Making games since 2015.",2
100433,Swift Requiem Origins,ThunderByte,10/08/2019,Puzzle,5,48.0623,462,86.19,615,352,63.7,NA,3
100434,Solar Dominion III,Moonlight Games,20/11/2024,Simulation,4,58.1589,338,97.95,709,216,NA,We make games that push boundaries.,2
100435,Frozen Tempest,crystaldawn,20/09/2019,Action,1,0,241,67.69,1019,371,99.2,Building the future of interactive entertainment.,1
100436,Mystic Revenant (25),Moonlight Games,25/03/2024,RPG,2,38.0823,300,62.45,468,393,67.5,NA,1
100437,Crimson Crusade,ThunderByte,09/08/2023,RPG,2,0,0,66.01,250,364,52.5,We make games that push boundaries.,1
100438,Infinite Sanctum Redux,Moonlight Games,28/04/2022,Action,1,50.6806,297,64.15,1327,531,63.3,NA,2
100439,Grand Zenith,SilverLeaf,10/09/2018,Puzzle,5,47.1287,0,77.04,717,135,92.3,We make games that push boundaries.,2
100440,Dire Realm II,SilverLeaf,23/03/2020,RPG,2,58.474,701,53.68,335,218,77.2,NA,2
100441,Hidden Nexus Origins,CrystalDawn,05/04/2022,Simulation,4,45.5956,0,84.36,705,148,48.7,Three friends who quit their jobs to make games.,3
100442,Steel Paragon Reborn,CrystalDawn,22/01/2018,Puzzle,5,42.9942,259,60.92,272,459,42.8,Our mission: games that matter.,3
100443,Grand Horizon Reborn,Neon Arc,11/03/2022,Strategy,3,0,1314,51.15,662,206,88.3,NA,2
100444,Lunar Cipher,ThunderByte,13/01/2021,RPG,2,55.0907,534,81.35,278,313,65.8,Creating unique worlds one pixel at a time.,2
100445,Solar Labyrinth,CrystalDawn,19/07/2024,Action,1,43.8581,934,89.6,1204,301,63.1,NA,2
100446,Lost Requiem,PixelForge,29/10/2018,RPG,2,62.7998,733,91.53,575,497,65.9,Focused on player agency and emergent gameplay.,1
100447,Primal Apex Redux,RedKite,01/06/2019,Strategy,3,46.6101,0,77.83,737,73,73.8,NA,1
100448,Primal Inferno,crystaldawn,14/07/2022,Simulation,4,50.4194,0,80.54,281,137,NA,Building the future of interactive entertainment.,3
100449,Crimson Crusade (26),RedKite,07/09/2021,Strategy,3,0,0,78.79,731,102,88.6,NA,3
100450,Crystal Legends,Moonlight Games,27/01/2023,Strategy,3,58.5525,453,94.1,819,368,82.1,Creating unique worlds one pixel at a time.,3
100451,Wild Dynasty III,ThunderByte,22/06/2021,RPG,2,73.853,595,97.22,1289,282,79.3,Creating unique worlds one pixel at a time.,2
100452,Primal Requiem Redux,RedKite,21/11/2018,RPG,2,46.2927,747,75.66,674,214,60.8,Building the future of interactive entertainment.,2
100453,Radiant Dominion III,RedKite,18/11/2024,RPG,2,45.969,468,70.5,325,178,NA,Focused on player agency and emergent gameplay.,1
100454,Shadow Dominion Origins,RedKite,12/06/2019,Strategy,3,43.9054,596,54.1,641,77,NA,Creating unique worlds one pixel at a time.,1
100455,Crystal Solstice,ThunderByte,04/04/2020,RPG,2,61.9902,1543,52.16,1036,169,63.6,NA,1
100456,Golden Catalyst,RedKite,13/05/2020,Simulation,4,57.2797,729,96.27,562,510,NA,NA,2
100457,Neon Frontier III,CrystalDawn,11/07/2023,Strategy,3,0,656,67.65,1108,343,81.1,NA,3
100458,Iron Apex,CrystalDawn,21/09/2018,Puzzle,5,33.3924,376,84.14,433,522,NA,We make games that push boundaries.,1
100459,Lost Dynasty (27),IRONGATE STUDIOS,18/01/2018,Puzzle,5,37.9582,449,93.25,162,371,61,Focused on player agency and emergent gameplay.,2
100460,Burning Requiem,Neon Arc,29/05/2024,Action,1,0,401,65.61,658,314,NA,Creating unique worlds one pixel at a time.,3
100461,Lost Tempest Redux,ThunderByte,22/10/2019,Action,1,37.3751,0,62.12,416,207,NA,Building the future of interactive entertainment.,1
100462,Swift Legends,Moonlight Games,27/09/2018,Action,1,35.3973,1699,69.53,294,74,40.2,NA,2
100463,Shattered Architect,crystaldawn,30/09/2023,Action,1,54.4586,638,90.63,247,359,80.2,Three friends who quit their jobs to make games.,3
100464,Silent Revenant II,RedKite,17/04/2018,Puzzle,5,51.0479,526,79.53,307,366,78.8,NA,1
100465,Burning Crusade,ThunderByte,27/07/2019,Action,1,37.3036,150,58.63,1177,215,NA,Veterans from AAA studios going indie.,1
100466,Golden Legacy,CrystalDawn,02/11/2023,Action,1,31.7339,594,68.46,1746,598,68.6,We make games that push boundaries.,1
100467,Fallen Sanctum Reborn,SilverLeaf,29/12/2023,Strategy,3,56.753,238,52.87,178,196,78.3,Creating unique worlds one pixel at a time.,2
100468,Iron Horizon,IronGate Studios,12/12/2022,Strategy,3,52.352,724,97.52,231,136,NA,Building the future of interactive entertainment.,2
100469,Cursed Eclipse II,PixelForge,28/09/2022,Strategy,3,40.2301,977,94.53,918,282,73,NA,1
100470,Infinite Dynasty Reborn,ThunderByte,12/02/2018,Action,1,57.4026,449,95.27,215,123,98.3,Creating unique worlds one pixel at a time.,3
100471,Frozen Fortress III,CrystalDawn,18/10/2021,RPG,2,49.1531,590,72.86,537,104,70.5,"Small team, big dreams. Making games since 2015.",1
100472,Rogue Tempest,ThunderByte,29/01/2024,Puzzle,5,46.4729,618,51.66,1046,228,81.3,Creating unique worlds one pixel at a time.,2
100473,Burning Vanguard,PIXELFORGE,13/09/2022,Simulation,4,57.2633,1237,60.36,1429,245,NA,Our mission: games that matter.,2
100474,Dark Wanderer,ThunderByte,10/05/2022,Simulation,4,46.2831,462,63.61,721,682,48.3,Three friends who quit their jobs to make games.,2
100475,Crimson Odyssey,RedKite,11/11/2018,Simulation,4,0,656,60.24,686,114,51.1,Award-winning indie studio based in Melbourne.,1
100476,Storm Protocol Reborn (28),IRONGATE STUDIOS,15/06/2023,Simulation,4,56.406,1193,63.81,602,458,49,Building the future of interactive entertainment.,3
100477,Savage Realm,PixelForge,24/01/2023,Strategy,3,0,839,55.79,357,690,58,Our mission: games that matter.,1
100478,Shadow Solstice Reborn,Neon Arc,20/11/2018,Simulation,4,43.3393,238,92.12,569,553,69.8,NA,3
100479,Dire Chronicles Redux,PixelForge,27/10/2022,Simulation,4,39.1529,391,63.9,319,423,NA,Focused on player agency and emergent gameplay.,3
100480,Shattered Oblivion,SilverLeaf,21/08/2022,Action,1,47.7813,0,67.18,772,236,83.6,NA,3
100481,Steel Sanctum III,IronGate Studios,08/03/2022,Puzzle,5,54.6554,191,58.73,587,59,49.2,Three friends who quit their jobs to make games.,1
100482,Lost Labyrinth III,ThunderByte,29/05/2021,Simulation,4,55.4865,542,97.63,425,767,61.5,Award-winning indie studio based in Melbourne.,2
100483,Lunar Cipher Redux,SilverLeaf,21/11/2021,Action,1,49.2541,947,84.48,550,82,56.1,Veterans from AAA studios going indie.,3
100484,Rogue Paragon,Neon Arc,10/03/2024,Strategy,3,54.6843,267,96.47,642,109,81.2,"Small team, big dreams. Making games since 2015.",2
100485,Frozen Genesis,SilverLeaf,21/11/2023,Strategy,3,76.0277,0,77.73,183,614,71.4,NA,2
100486,Rising Cipher,CrystalDawn,05/07/2018,Puzzle,5,0,691,56.46,238,125,95.7,Building the future of interactive entertainment.,2
100487,Twisted Wanderer Reborn,IronGate Studios,23/07/2019,RPG,2,58.0049,0,94.53,803,339,46.8,NA,1
100488,Noble Architect (29),CrystalDawn,05/12/2024,Strategy,3,59.118,0,80.2,376,499,69.9,NA,2
100489,Radiant Solstice (30),RedKite,10/11/2021,Strategy,3,54.3516,0,81.79,1128,77,NA,NA,1
100490,Dire Legends III,PIXELFORGE,11/01/2019,Action,1,48.8867,656,67.75,645,198,98.6,Award-winning indie studio based in Melbourne.,3
100491,Radiant Requiem,SilverLeaf,06/04/2023,Puzzle,5,40.5925,0,74.72,1022,263,81.7,Our mission: games that matter.,2
100492,Silent Genesis,PixelForge,05/08/2023,Strategy,3,0,827,71.15,774,236,59.5,Award-winning indie studio based in Melbourne.,1
100493,Frozen Abyss,SilverLeaf,18/10/2018,Puzzle,5,0,1352,79.89,828,503,54.5,Veterans from AAA studios going indie.,3
100494,Stellar Ascension Origins,Neon Arc,25/03/2024,Action,1,46.5478,437,58.39,211,144,50.1,NA,3
100495,Savage Vanguard,SilverLeaf,21/09/2022,Strategy,3,43.2217,276,81.85,288,179,65.9,We make games that push boundaries.,1
100496,Primal Horizon Origins,PixelForge,15/09/2020,Action,1,32.1258,570,50.43,674,243,66.1,Our mission: games that matter.,1
100497,Fallen Siege Reborn,RedKite,25/04/2021,Action,1,50.4095,778,99.92,501,90,48.5,We make games that push boundaries.,2
100498,Infinite Vendetta III,Neon Arc,10/07/2024,Simulation,4,52.3198,271,66.74,244,296,97.2,NA,1
100499,Rising Wanderer,PixelForge,25/10/2020,Simulation,4,43.6985,0,68.96,94,284,50.3,Award-winning indie studio based in Melbourne.,1
100500,Cursed Architect Origins,CrystalDawn,14/04/2023,Simulation,4,65.0269,482,86.17,472,183,81.9,Our mission: games that matter.,3
100501,Hidden Legacy (31),RedKite,10/01/2022,Strategy,3,75.2603,0,82.17,721,312,95.4,Award-winning indie studio based in Melbourne.,2
100502,Hidden Inferno II,CrystalDawn,20/09/2023,Simulation,4,45.7566,380,80.87,777,330,83.2,Three friends who quit their jobs to make games.,1
100503,Ancient Odyssey III,CrystalDawn,16/03/2021,Strategy,3,0,0,79.72,370,202,69.6,Passionate about narrative-driven experiences.,3
100504,Shattered Crusade Reborn,RedKite,28/06/2024,RPG,2,59.6224,482,97.75,390,498,86.3,Focused on player agency and emergent gameplay.,2
100505,Rising Nexus,SilverLeaf,01/07/2018,Puzzle,5,38.8154,0,64.1,333,281,76.1,NA,1
100506,Shattered Dynasty Reborn,SilverLeaf,04/07/2022,Puzzle,5,47.8518,776,79.88,475,123,94.6,"Small team, big dreams. Making games since 2015.",1
100507,Rising Solstice II,IronGate Studios,29/06/2022,Strategy,3,46.9101,530,85.02,621,175,81.8,Building the future of interactive entertainment.,2
100508,Radiant Genesis (32),Moonlight Games,28/10/2020,Action,1,37.6686,1023,70.95,555,163,NA,Our mission: games that matter.,3
100509,Infinite Siege Redux,SilverLeaf,05/05/2020,Puzzle,5,38.8395,737,90.34,243,177,77.7,Award-winning indie studio based in Melbourne.,1
100510,Mystic Legacy Redux,RedKite,02/03/2021,Puzzle,5,32.8566,505,92.34,1101,150,NA,Veterans from AAA studios going indie.,2
100511,Silent Legends,Neon Arc,02/08/2018,RPG,2,72.5813,0,77.48,952,321,97.5,We make games that push boundaries.,3
100512,Rising Revenant,PixelForge,05/10/2020,Simulation,4,57.8348,695,96.86,415,626,77.1,Award-winning indie studio based in Melbourne.,1
100513,Crystal Genesis II,PixelForge,14/03/2021,Action,1,42.2454,238,87.42,515,343,92.2,NA,3
100514,Swift Vanguard,moonlight games,11/12/2019,Simulation,4,44.3806,380,78.69,579,250,88.8,We make games that push boundaries.,1
100515,Shattered Ascension Reborn,MOONLIGHT GAMES,25/03/2024,RPG,2,0,447,97.74,485,151,85.6,"Small team, big dreams. Making games since 2015.",3
100516,Broken Catalyst (33),Moonlight Games,17/04/2021,Action,1,34.6099,0,69.32,1670,148,69.1,NA,2
100517,Rising Covenant Reborn,PixelForge,19/12/2018,Action,1,35.2871,230,80.35,671,204,NA,Focused on player agency and emergent gameplay.,2
100518,Radiant Dominion,IronGate Studios,11/09/2024,RPG,2,57.5027,524,75.66,162,858,59.2,Award-winning indie studio based in Melbourne.,3
100519,Wild Labyrinth Redux,IronGate Studios,16/02/2022,RPG,2,59.9678,0,60.49,233,367,95.8,NA,3
100520,Lone Horizon Reborn,RedKite,30/11/2023,Strategy,3,46.4363,0,66.1,386,151,NA,Building the future of interactive entertainment.,1
100521,Hidden Realm,Neon Arc,25/12/2021,Puzzle,5,60.3602,1020,98.53,412,232,NA,Building the future of interactive entertainment.,2
100522,Fallen Bastion,PixelForge,01/07/2018,RPG,2,46.3976,1077,86.83,366,399,46.8,Three friends who quit their jobs to make games.,1
100523,Forsaken Dominion Redux,IronGate Studios,02/11/2018,RPG,2,63.2626,400,93.98,608,320,99.8,Veterans from AAA studios going indie.,3
100524,Solar Requiem,SilverLeaf,25/07/2023,Puzzle,5,34.4758,352,76.99,371,287,96.4,Creating unique worlds one pixel at a time.,1
100525,Fallen Odyssey Redux,CrystalDawn,10/01/2023,Strategy,3,52.6702,1927,97.01,173,631,71.8,NA,3
100526,Cursed Solstice,CrystalDawn,17/05/2022,Action,1,53.6573,299,51.88,400,287,86.8,Three friends who quit their jobs to make games.,2
100527,Grand Genesis II,CRYSTALDAWN,04/06/2021,Puzzle,5,51.4061,466,88.68,472,321,NA,We make games that push boundaries.,1
100528,Golden Inferno (34),NEON ARC,04/01/2023,Action,1,45.2035,762,55.31,439,176,NA,NA,2
100529,Shadow Harbinger III,pixelforge,18/02/2024,RPG,2,43.8475,559,51.33,1125,423,NA,Our mission: games that matter.,2
100530,Wild Fortress,CrystalDawn,24/11/2018,Strategy,3,52.076,1472,79.47,585,241,NA,Creating unique worlds one pixel at a time.,1
100531,Steel Apex,IronGate Studios,20/09/2019,Simulation,4,50.5876,659,98.18,1026,333,51,NA,2
100532,Grand Bastion,SilverLeaf,01/08/2019,Puzzle,5,39.5489,327,92.14,368,431,85.7,Veterans from AAA studios going indie.,1
100533,Rising Dynasty Origins,CrystalDawn,06/08/2018,Action,1,48.1211,455,81.59,739,370,89.2,Award-winning indie studio based in Melbourne.,3
100534,Shattered Harbinger Reborn,IronGate Studios,10/07/2024,Action,1,45.4384,807,71.75,675,149,82,NA,2
100535,Storm Architect,Moonlight Games,21/07/2021,Action,1,35.9702,559,84.8,452,199,87.3,Focused on player agency and emergent gameplay.,3
100536,Rising Vanguard,CrystalDawn,07/10/2021,Puzzle,5,0,721,89.79,534,242,96.3,NA,2
100537,Dire Apex,Neon Arc,16/07/2020,Action,1,0,466,66.2,451,434,93.1,Focused on player agency and emergent gameplay.,1
100538,Silent Odyssey,IronGate Studios,31/08/2018,Action,1,0,135,73.87,546,647,81.5,Passionate about narrative-driven experiences.,1
100539,Lost Legends,RedKite,10/01/2020,RPG,2,58.3103,0,79.25,918,245,NA,Our mission: games that matter.,1
100540,Frozen Vendetta Reborn,ThunderByte,22/03/2023,Action,1,39.781,0,89.73,466,243,95.4,Veterans from AAA studios going indie.,1
100541,Storm Dynasty,Neon Arc,15/12/2022,Simulation,4,42.9253,0,72.46,760,346,NA,NA,1
100542,Twisted Legacy III,Neon Arc,17/08/2023,Simulation,4,60.6015,555,71.02,1028,320,59.1,Three friends who quit their jobs to make games.,2
100543,Mystic Labyrinth III,RedKite,23/02/2019,Puzzle,5,31.8937,401,64.31,483,333,67.4,Veterans from AAA studios going indie.,2
100544,Swift Legends (35),silverleaf,30/04/2018,RPG,2,0,0,74.78,1072,555,91.2,NA,1
100545,Hidden Labyrinth,Neon Arc,21/01/2020,Simulation,4,50.4968,373,92.61,437,457,42.3,Creating unique worlds one pixel at a time.,2
100546,Rogue Labyrinth,CrystalDawn,23/06/2023,RPG,2,51.4679,799,62.04,762,482,50.4,Three friends who quit their jobs to make games.,1
100547,Dark Legacy,Neon Arc,25/06/2022,Strategy,3,43.8659,495,94.76,373,117,NA,Creating unique worlds one pixel at a time.,2
100548,Crystal Legacy Reborn,pixelforge,17/12/2023,Puzzle,5,40.6513,224,92.41,562,246,NA,NA,2
100549,Shadow Revenant Redux,RedKite,12/09/2018,Strategy,3,0,397,63.62,658,59,57.9,Building the future of interactive entertainment.,3
100550,Dire Covenant,Moonlight Games,26/12/2019,RPG,2,60.6487,752,77.55,455,1090,NA,NA,2
100551,Golden Apex Redux,SilverLeaf,01/02/2019,RPG,2,0,659,68.35,66,206,NA,Three friends who quit their jobs to make games.,1
100552,Noble Realm Origins,ThunderByte,24/03/2021,Puzzle,5,45.9989,176,80.82,258,351,79.4,Building the future of interactive entertainment.,3
100553,Rising Oblivion (36),CrystalDawn,05/05/2021,Simulation,4,40.6849,0,64.61,871,33,55.2,Award-winning indie studio based in Melbourne.,1
100554,Dire Abyss,Moonlight Games,27/10/2022,Strategy,3,47.436,762,65.02,496,187,91.3,Award-winning indie studio based in Melbourne.,1
100555,Fallen Paragon Origins,Moonlight Games,10/09/2024,Action,1,42.486,404,50.02,345,482,47.4,"Small team, big dreams. Making games since 2015.",3
100556,Rising Chronicles II,Neon Arc,15/02/2021,Action,1,43.9431,1125,84.41,266,242,50.9,NA,1
100557,Grand Catalyst III,IronGate Studios,13/09/2018,RPG,2,42.6007,217,67.96,1050,251,NA,NA,1
100558,Stellar Inferno,crystaldawn,25/05/2020,Simulation,4,0,257,96.89,437,184,NA,Veterans from AAA studios going indie.,2
100559,Wild Protocol Redux,PixelForge,30/03/2023,RPG,2,57.2255,698,65.86,299,824,52.4,NA,1
100560,Lost Dominion,ThunderByte,16/03/2024,RPG,2,44.7284,786,91.42,580,235,44.6,Passionate about narrative-driven experiences.,2
100561,Lunar Apex,THUNDERBYTE,22/12/2024,Simulation,4,51.2026,245,71.68,737,319,78.5,NA,1
100562,Golden Revenant,ThunderByte,27/08/2024,RPG,2,0,449,62.45,355,407,NA,Award-winning indie studio based in Melbourne.,3
100563,Neon Odyssey Redux,IronGate Studios,08/12/2021,Simulation,4,46.8271,479,78.8,581,518,49.4,"Small team, big dreams. Making games since 2015.",2
100564,Infinite Legends III,Neon Arc,18/07/2021,Simulation,4,0,564,63.26,434,237,94.2,Building the future of interactive entertainment.,3
100565,Hidden Odyssey,RedKite,23/07/2018,Strategy,3,0,808,61.04,347,521,48.8,Passionate about narrative-driven experiences.,1
100566,Burning Ascension,moonlight games,10/01/2022,Simulation,4,46.5611,530,79.32,191,93,68.3,Three friends who quit their jobs to make games.,3
100567,Swift Sanctum,Moonlight Games,01/10/2021,Puzzle,5,44.1669,440,94,577,267,86.1,Veterans from AAA studios going indie.,1
100568,Crimson Bastion,Neon Arc,24/01/2022,Puzzle,5,31.7185,1335,69.33,378,175,56,Three friends who quit their jobs to make games.,1
100569,Storm Catalyst Redux,Moonlight Games,24/09/2019,Puzzle,5,48.2215,500,74.12,497,287,NA,Building the future of interactive entertainment.,1
100570,Crystal Legends (37),RedKite,13/05/2018,Action,1,39.6861,0,61.18,1335,291,97.3,Three friends who quit their jobs to make games.,1
100571,Hidden Solstice,PixelForge,03/05/2018,Puzzle,5,52.6092,503,84.5,349,217,NA,Award-winning indie studio based in Melbourne.,1
100572,Lost Eclipse Reborn,PixelForge,09/01/2018,Simulation,4,63.3972,1049,55.3,436,462,85.8,Veterans from AAA studios going indie.,3
100573,Grand Horizon (38),CrystalDawn,22/08/2019,Puzzle,5,33.289,432,88.78,536,388,76.9,Three friends who quit their jobs to make games.,2
100574,Primal Ascension Redux,CrystalDawn,15/09/2019,Action,1,56.8258,633,94.91,302,249,NA,"Small team, big dreams. Making games since 2015.",3
100575,Rising Wanderer (39),ThunderByte,04/04/2024,Action,1,49.8735,1324,76.89,632,311,NA,Award-winning indie studio based in Melbourne.,2
100576,Ethereal Legends,ThunderByte,20/08/2022,Simulation,4,0,679,75.51,672,136,82.2,NA,2
100577,Ethereal Zenith,Neon Arc,22/09/2019,Puzzle,5,36.1592,231,88.8,383,84,81.7,Passionate about narrative-driven experiences.,1
100578,Twisted Eclipse,Moonlight Games,22/08/2023,Puzzle,5,41.8215,473,96.49,354,210,62,Our mission: games that matter.,3
100579,Swift Ascension,Moonlight Games,06/07/2024,Puzzle,5,31.8994,837,60.94,636,220,41.6,Passionate about narrative-driven experiences.,2
100580,Iron Cipher,IronGate Studios,25/09/2021,Action,1,45.1266,516,94.88,666,160,99.6,Veterans from AAA studios going indie.,1
100581,Dark Nexus,SilverLeaf,13/01/2024,Action,1,56.0642,598,85.97,206,445,49.4,Our mission: games that matter.,2
100582,Hollow Eclipse II,RedKite,20/04/2018,Simulation,4,48.058,182,99.75,645,392,NA,NA,1
100583,Lunar Dynasty,PixelForge,11/01/2024,Action,1,36.6839,649,97.64,316,213,40.4,Creating unique worlds one pixel at a time.,1
100584,Stellar Bastion III,RedKite,14/08/2020,Action,1,26.3283,0,75.16,664,380,NA,"Small team, big dreams. Making games since 2015.",1
100585,Rogue Revenant Redux,CrystalDawn,10/08/2020,RPG,2,43.8621,0,72.63,403,541,81,We make games that push boundaries.,2
100586,Radiant Inferno,IronGate Studios,31/05/2021,Action,1,41.1714,643,79.73,218,362,NA,We make games that push boundaries.,1
100587,Mystic Covenant,PIXELFORGE,05/03/2023,Puzzle,5,0,451,57.57,463,321,87.1,NA,1
100588,Lone Legacy,SILVERLEAF,10/04/2019,Action,1,0,0,69.86,568,378,96.4,NA,3
100589,Solar Chronicles Reborn,silverleaf,08/10/2024,Puzzle,5,47.8717,835,94.57,315,143,68.6,NA,2
100590,Rising Nexus (40),RedKite,06/04/2020,Simulation,4,42.7394,186,92.55,1045,96,45.4,Our mission: games that matter.,1
100591,Iron Zenith,PixelForge,05/06/2023,Action,1,0,0,76.05,413,128,71.8,Our mission: games that matter.,2
100592,Broken Bastion,SilverLeaf,29/10/2021,Strategy,3,47.4541,727,79.22,811,490,88.2,We make games that push boundaries.,1
100593,Silent Architect II,Moonlight Games,26/07/2018,RPG,2,48.8739,0,63.51,375,226,62.2,Focused on player agency and emergent gameplay.,1
100594,Silent Revenant Origins,Moonlight Games,13/07/2021,RPG,2,0,1084,80.89,698,269,78.2,NA,1
100595,Crystal Tempest Origins,Moonlight Games,22/01/2018,Action,1,54.3291,622,60.79,673,589,57.1,"Small team, big dreams. Making games since 2015.",3
100596,Dark Exodus II,RedKite,09/01/2021,Simulation,4,44.8793,231,94.81,534,69,NA,NA,3
100597,Infinite Requiem Redux,RedKite,04/04/2019,Action,1,52.9134,388,75.62,270,336,61.7,NA,1
100598,Crimson Inferno II,Moonlight Games,12/05/2024,RPG,2,56.8816,0,84.22,1149,342,NA,NA,1
100599,Dire Solstice,ThunderByte,08/11/2020,Action,1,0,569,96.75,262,517,NA,Our mission: games that matter.,2
100600,Neon Covenant Redux,IronGate Studios,16/11/2018,Action,1,46.9243,223,56.03,467,113,87,"Small team, big dreams. Making games since 2015.",3
100601,Stellar Horizon,Moonlight Games,02/11/2022,Puzzle,5,32.8734,1152,51.9,564,112,NA,"Small team, big dreams. Making games since 2015.",3
100602,Lone Horizon,SilverLeaf,24/11/2021,RPG,2,0,781,55.31,302,306,60.4,Creating unique worlds one pixel at a time.,2
